Player,Goals,Assists,Minutes,Position,Rating,Shots on target,Shots off target,Shots blocked,Dribbles,Successful dribbles,Notes (Attacking),Clearances,Blocked shots,Interceptions,Tackles,Dribbled Past,Notes (Defending),Touches,Accurate Passes,Tot. Passes,Pass accuracy,Key passes,Crosses,Successful crosses,Long balls,Successful long balls,Notes (Passing),Ground Duels,Ground Duels won,Aerial Duels,Aerial Duels won,Dispossessions,Fouled,Fouls,Offside,Saves,Punches,Run-outs,Successful run-outs,High claims,Notes (Goalkeeping)
Roger Martí,1,1,90',F,7.8,1,3,0,0,0,Big chances missed: 1,0,0,0,0,1,-,28,14,15 ,93,1,0,0,0,0,Big chances created: 1,4,1,1,1,8,1,1,0,-,-,-,-,-,-
Carlos Akapo,1,0,90',D,7.5,1,0,0,1,1,-,2,0,1,6,1,-,46,20,23 ,87,0,1,0,0,0,-,10,7,0,0,8,0,1,0,-,-,-,-,-,-
Isaac Carcelén,0,1,90',D,7.4,0,0,0,2,2,-,2,0,1,4,0,-,55,20,25 ,80,2,3,2,1,0,-,10,9,0,0,11,3,0,0,-,-,-,-,-,-
Alberto Perea,0,1,74',F,7.2,0,0,1,1,1,-,1,0,1,1,0,-,32,15,20 ,75,1,0,0,2,1,Big chances created: 1,5,3,0,0,6,1,1,0,-,-,-,-,-,-
Álvaro Negredo,1,0,74',F,7.2,1,1,0,0,0,-,0,0,0,1,0,-,30,11,17 ,65,0,0,0,0,0,-,3,2,10,5,13,1,2,0,-,-,-,-,-,-
Gonzalo Melero,1,0,90',M,7.2,1,1,0,1,0,-,0,0,0,2,3,-,81,65,72 ,90,1,0,0,0,0,-,7,2,3,2,9,0,1,0,-,-,-,-,-,-
Coke,0,0,10',D,7.1,0,0,0,0,0,-,0,0,0,1,0,-,15,9,10 ,90,1,1,1,1,1,Big chances created: 1,4,2,0,0,2,1,1,0,-,-,-,-,-,-
Son,0,0,80',D,7.1,0,0,0,0,0,-,0,1,0,1,0,-,64,39,44 ,89,4,8,4,2,1,-,2,2,0,0,9,1,0,0,-,-,-,-,-,-
Dani Gómez,0,0,67',F,7.0,1,2,0,2,2,-,0,0,0,0,0,-,32,21,23 ,91,0,0,0,0,0,-,3,2,2,2,5,0,0,0,-,-,-,-,-,-
Rubén Sobrino,0,0,90',F,7.0,0,0,0,3,2,-,1,0,1,5,2,-,46,15,21 ,71,1,0,0,2,1,-,14,10,3,0,14,3,1,0,-,-,-,-,-,-
Enis Bardhi,0,0,67',M,6.9,1,0,1,6,4,-,0,0,0,1,0,-,59,29,35 ,83,3,3,0,2,2,-,12,6,0,0,16,1,2,0,-,-,-,-,-,-
Álejandro Cantero,0,0,23',M,6.7,0,0,0,0,0,-,0,0,0,1,0,-,7,3,3 ,100,1,0,0,0,0,-,2,1,0,0,2,0,2,0,-,-,-,-,-,-
Jairo Izquierdo González,0,0,22',M,6.7,0,0,0,0,0,-,0,0,0,0,0,-,8,4,5 ,80,0,1,1,1,0,-,2,2,0,0,1,2,0,0,-,-,-,-,-,-
José Luis Morales,0,0,23',M,6.7,0,0,1,4,1,-,0,0,0,2,0,-,18,4,5 ,80,2,3,2,0,0,-,7,3,0,0,7,0,0,0,-,-,-,-,-,-
José Mari,0,0,90',M,6.6,0,1,0,2,1,-,3,1,1,1,2,-,40,17,24 ,71,2,1,0,5,2,-,8,4,1,0,10,2,0,0,-,-,-,-,-,-
Mickaël Malsa,0,0,80',M,6.6,0,1,1,0,0,-,0,0,2,0,1,-,91,76,84 ,90,1,0,0,7,3,-,5,1,0,0,8,1,3,0,-,-,-,-,-,-
Óscar Duarte,0,0,90',D,6.6,0,0,0,0,0,-,0,0,0,1,0,-,90,74,87 ,85,0,0,0,8,5,-,2,1,8,6,13,0,1,0,-,-,-,-,-,-
Róber Pier,0,0,90',D,6.6,0,2,0,0,0,-,2,0,1,0,0,-,86,72,77 ,94,0,0,0,8,5,-,2,1,6,2,6,1,0,0,-,-,-,-,-,-
Toño,0,1,62',D,6.6,0,0,0,1,0,-,0,0,1,0,0,-,62,40,46 ,87,3,4,1,2,0,-,3,0,1,1,15,0,0,0,-,-,-,-,-,-
Álvaro Bastida,0,0,34',M,6.5,0,0,0,0,0,-,0,0,0,0,0,-,8,4,8 ,50,0,0,0,1,0,-,0,0,1,1,4,0,0,0,-,-,-,-,-,-
Filip Malbašić,0,0,16',F,6.5,0,0,0,0,0,-,0,0,0,0,0,-,5,0,1 ,0,0,0,0,0,0,-,2,1,2,1,3,1,0,0,-,-,-,-,-,-
Jon Ander Garrido,0,0,34',M,6.5,0,0,0,0,0,-,0,1,0,0,0,-,11,7,10 ,70,0,0,0,1,1,-,0,0,1,0,3,0,0,0,-,-,-,-,-,-
Pedro Alcalá,0,0,68',D,6.5,0,0,0,0,0,-,5,0,1,1,0,-,19,9,12 ,75,0,0,0,3,1,-,1,1,0,0,3,0,0,0,-,-,-,-,-,-
Alex Blesa,0,0,10',M,6.4,0,0,0,0,0,-,0,0,0,0,0,-,12,12,12 ,100,0,0,0,0,0,-,2,0,0,0,0,0,2,0,-,-,-,-,-,-
Augusto Fernández,0,0,56',M,6.4,0,0,0,0,0,-,1,0,1,2,2,-,19,10,12 ,83,0,0,0,0,0,-,7,3,0,0,4,1,1,0,-,-,-,-,-,-
David Gil,0,0,90',G,6.4,0,0,0,0,0,-,2,0,0,0,0,-,41,13,35 ,37,0,0,0,35,13,-,0,0,0,0,22,0,0,0,2,2,0,0,0,Saves from inside box: 2
Fali,0,0,90',D,6.4,0,0,0,1,1,-,3,1,1,0,1,-,25,13,17 ,76,0,0,0,5,1,-,3,1,2,0,5,0,1,0,-,-,-,-,-,-
Jens Jønsson,0,0,56',M,6.4,0,0,0,0,0,-,0,0,0,0,0,-,15,8,12 ,67,0,0,0,1,1,-,2,1,1,1,6,1,0,0,-,-,-,-,-,-
Jorge Pombo,0,0,16',M,6.4,0,1,0,1,0,-,0,0,0,0,0,-,11,5,6 ,83,0,0,0,0,0,-,3,1,1,0,4,1,1,0,-,-,-,-,-,-
Carlos Clerc,0,0,28',D,6.3,0,0,0,1,0,-,0,0,0,0,0,-,22,12,13 ,92,0,1,0,1,0,-,4,1,0,0,4,1,1,0,-,-,-,-,-,-
Dani Cárdenas,0,0,90',G,6.2,0,0,0,0,0,-,1,0,0,0,0,-,25,16,18 ,89,0,0,0,6,4,-,0,0,0,0,2,0,0,0,0,0,3,3,0,-
Jorge de Frutos,0,0,90',M,5.8,0,1,0,2,1,-,0,0,0,1,3,-,49,19,26 ,73,0,9,0,2,2,-,11,2,1,0,23,0,3,0,-,-,-,-,-,-
Roger Martí,1,1,90',F,7.8,1,3,0,0,0,Big chances missed: 1,0,0,0,0,1,-,28,14,15 ,93,1,0,0,0,0,Big chances created: 1,4,1,1,1,8,1,1,0,-,-,-,-,-,-
Carlos Akapo,1,0,90',D,7.5,1,0,0,1,1,-,2,0,1,6,1,-,46,20,23 ,87,0,1,0,0,0,-,10,7,0,0,8,0,1,0,-,-,-,-,-,-
Isaac Carcelén,0,1,90',D,7.4,0,0,0,2,2,-,2,0,1,4,0,-,55,20,25 ,80,2,3,2,1,0,-,10,9,0,0,11,3,0,0,-,-,-,-,-,-
Alberto Perea,0,1,74',F,7.2,0,0,1,1,1,-,1,0,1,1,0,-,32,15,20 ,75,1,0,0,2,1,Big chances created: 1,5,3,0,0,6,1,1,0,-,-,-,-,-,-
Álvaro Negredo,1,0,74',F,7.2,1,1,0,0,0,-,0,0,0,1,0,-,30,11,17 ,65,0,0,0,0,0,-,3,2,10,5,13,1,2,0,-,-,-,-,-,-
